Date,ESG_Factor,High_ESG_Portfolio,Mid_ESG_Portfolio,Low_ESG_Portfolio,Market
2019-02-28,0.013308430899297629,0.04220438920008697,0.02222210246677504,0.02889595830078934,0.02988525244527219
2019-03-31,-0.00970152734517127,0.007419613616458183,0.013399134477516323,0.017121140961629453,0.01253577984022716
2019-04-30,-0.01224609840964521,0.03240448551524551,0.03659365478726568,0.04465058392489072,0.037351136290065895
2019-05-31,-0.02243576934955041,-0.08985522356185155,-0.06813715229469736,-0.06741945421230114,-0.07447314915424455
2019-06-30,0.01319142225595614,0.07641239174179462,0.07759256092666333,0.06322096948583848,0.07364561231099652
2019-07-31,0.0007955836134625541,0.014367142773878842,0.01356784164452182,0.013571559160416288,0.013808561362302543
2019-08-31,-0.0057583555620339885,-0.03283251170136596,-0.014537221138821638,-0.02707415613933197,-0.02316004205771252
2019-09-30,0.004239138717804559,0.021708539644858298,0.017982306843388227,0.01746940092705374,0.018971950204745625
2019-10-31,0.03593971170884667,0.029405172365508252,0.03362844779138731,-0.0065345393433384165,0.022320718379942164
2019-11-30,0.03124939208309408,0.05206066645790393,0.04367662227454918,0.020811274374809847,0.04047549855462078
2019-12-31,0.009708414573936171,0.03409854274910142,0.035323238268298834,0.02439012817516525,0.032222552089256215
2020-01-31,-0.010644466817984817,-0.024373946185004176,-0.0023890050716668635,-0.013729479367019359,-0.011819605979506185
2020-02-29,0.011199121472968518,-0.08514205279913169,-0.07404963774624182,-0.0963411742721002,-0.08295024639357336
2020-03-31,0.043314168569715816,-0.1379632598003293,-0.1301120316513336,-0.18127742837004512,-0.1452587492757102
2020-04-30,-0.008559713822718154,0.11423867400469927,0.12939157290028508,0.12279838782741742,0.1231974069633924
2020-05-31,0.021299936030850633,0.04087056545978772,0.048778850541104576,0.019570629428937086,0.03910430973866765
2020-06-30,0.011681289869201285,0.025282398743518945,0.02096250176082673,0.01360110887431766,0.020418122634007125
2020-07-31,-0.0009422796491590189,0.023566914455194907,0.061633977563658425,0.024509194104353926,0.04093266276629325
2020-08-31,0.007765436179689236,0.057372995293019084,0.09174380886955116,0.04960755911332985,0.0708985023575362
2020-09-30,-0.01068822834040467,-0.04728579077292129,-0.017022144352626653,-0.03659756243251662,-0.030995092798687538
2020-10-31,-0.0018600654038810997,-0.026965322704777157,-0.024673448630264605,-0.025105257300896057,-0.025468963020276233
2020-11-30,-0.0028824672635339166,0.15596769419249282,0.14557468695130804,0.15885016145602673,0.15201145774984318
2020-12-31,0.014055279401474823,0.047311893059210686,0.03126444234826485,0.03325661365773586,0.03657672038891636
2021-01-31,0.036693248346778444,0.0059636863341324346,0.002655181297003225,-0.03072956201264601,-0.0046984530192703215
2021-02-28,-0.02628703736543106,0.05263556308239292,0.0370069959334499,0.07892260044782398,0.05217446720672633
2021-03-31,0.009779370267433196,0.0731622802750639,0.04638165584334471,0.0633829100076307,0.058666156713931945
2021-04-30,-0.03615470436408713,0.014067419692680416,0.036866395261739716,0.05022212405676755,0.033365634789778886
2021-05-31,0.004744261567121169,0.03509102533173329,0.020745744162032766,0.030346763764612122,0.027449583413587764
2021-06-30,-0.00025559548742746553,0.007446786418579162,0.015490778548997153,0.007702381906006628,0.011130481749124123
2021-07-31,-0.0054139303067284785,0.0027173717037387766,0.009500768018542282,0.008131302010467256,0.007123382622082473
2021-08-31,0.007428815250530192,0.02327381100730204,0.01350493511159417,0.015844995756771847,0.017020613041600952
2021-09-30,-0.04390006853752191,-0.04735283471445901,-0.042257298698022965,-0.003452766176937101,-0.03408482637268231
2021-10-31,0.00882156583825483,0.0559334381450893,0.06756025064920765,0.04711187230683447,0.058960112312378854
2021-11-30,0.01227996318883336,-0.027610127847892577,0.007722221170814043,-0.03989009103672594,-0.014780561586682936
2021-12-31,0.0009127967655708571,0.05753155657000206,0.05800494681656239,0.0566187598044312,0.05751638298956149
2022-01-31,-0.03860963122645736,-0.022702185667785774,-0.041766742021314675,0.015907445558671584,-0.02162882822025945
2022-02-28,-0.03165254767506474,-0.03278217260736231,-0.02253195528026878,-0.001129624932297566,-0.020256437891404043
2022-03-31,-0.033557508783801676,-0.004404591391439816,0.03140197565145132,0.02915291739236186,0.02009774097381162
2022-04-30,-0.0011437000496091893,-0.06611971264614806,-0.07906815287516443,-0.06497601259653887,-0.07166058573680313
2022-05-31,-0.024009653528493304,0.015474014075199697,0.01193841746839097,0.039483667603693,0.019885408984259098
2022-06-30,-0.006750516376409707,-0.10089368852735131,-0.08535726763919695,-0.0941431721509416,-0.09221467003357944
2022-07-31,-0.017729984203543887,0.05719516553584717,0.08534462475155784,0.07492514973939106,0.07429491823380294
2022-08-31,-0.02483524804746439,-0.03747309861749221,-0.050100499836797055,-0.012637850570027824,-0.0369466171543133
2022-09-30,0.019392573906470936,-0.08354329222149695,-0.1029461339960467,-0.10293586612796789,-0.0971227144966621
2022-10-31,0.007753469200656532,0.1229854366330533,0.10641158612583924,0.11523196743239676,0.11358883660464283
2022-11-30,0.023556138605258806,0.08694078720547861,0.06911001536563209,0.0633846486002198,0.073027905226233
2022-12-31,-0.020570483427826566,-0.04883050271476693,-0.06917078988545039,-0.028260019286940365,-0.05284101108461785
2023-01-31,-0.0023995187402301096,0.05252124049519596,0.07634134197965022,0.05492075923542607,0.06384016584825791
2023-02-28,0.004005604070343276,-0.034661356182890714,-0.02968713389330291,-0.03866696025323399,-0.03342435717016202
2023-03-31,0.001260697337955698,0.016032243995824372,0.016810327170796682,0.014771546657868674,0.016067207090072987
2023-04-30,-0.001036421136765494,0.018663408713681284,0.002467047128114867,0.019699829850446778,0.011634151284367768
2023-05-31,0.009800135017223842,-0.03260976469656121,0.0012000955477105668,-0.04240989971378505,-0.019845361340944875
2023-06-30,-0.003656903017787587,0.0544999768074402,0.0652446898818173,0.058156879825227784,0.0602493234453568
2023-07-31,0.007178757851967192,0.04340119429916684,0.03146269556404003,0.03622243644719965,0.03623418040536797
2023-08-31,-0.006419640973774576,-0.03596252008100661,-0.018589684293538404,-0.029542879107232033,-0.02653983373320227
2023-09-30,-0.0005600570025246013,-0.04828287732740299,-0.03562034057469871,-0.04772282032487839,-0.04244472153805491
2023-10-31,-0.015732261039468766,-0.027149751234175103,-0.0306500098533635,-0.011417490194706338,-0.02479180235294269
2023-11-30,0.0307982865202378,0.09028213433104985,0.0868821616804735,0.059483847810812056,0.08105257500823106
2023-12-31,0.027685721678970474,0.06371397612603812,0.05846327665869987,0.03602825444706764,0.05442973094599329
2024-01-31,-0.018365068928258132,-0.006484330501765271,0.017595733234304287,0.01188073842649286,0.008942965411530564
2024-02-29,-0.00660626163646813,0.026641214909746254,0.05248905904181021,0.033247476546214384,0.039924310178292066
2024-03-31,0.010352138423343926,0.05505417505128054,0.03951015319987725,0.04470203662793661,0.04547133061231308
2024-04-30,-0.010991030764841026,-0.0347796931328745,-0.05237330924507073,-0.02378866236803347,-0.03994906269215255
2024-05-31,-0.008708852453351925,0.02266384487121292,0.02868823292745648,0.031372697324564845,0.027552032609860503
2024-06-30,0.012116601399274684,0.005807882166279125,0.02141705215022954,-0.006308719232995559,0.009802858309238141
2024-07-31,-0.0031528964704921614,0.032458415188436555,0.02459940330995152,0.03561131165892872,0.02971008396074133
2024-08-31,-0.030006203870880974,0.004934923157958119,0.02296425787492086,0.03494112702883909,0.020549674748311597
2024-09-30,-0.012475339044336545,0.003370204164646917,0.027034863244507466,0.015845543208983463,0.017138135511668297
2024-10-31,-0.024854199507962735,-0.020833549597678185,-0.01242386821209508,0.00402064991028455,-0.010835643097175102
2024-11-30,-0.009830391954070428,0.03484078474993475,0.06176247775542481,0.04467117670400518,0.049413144590922886
2024-12-31,0.014052995774292538,-0.049798578012122306,-0.0458096340113312,-0.06385157378641484,-0.051516802155339436
2025-01-31,0.027026542875007147,0.05649221744042143,0.04591715134595822,0.029465674565414286,0.0449768019791612
2025-02-28,-0.03112435228226003,0.01171869699731433,-0.002838405443701264,0.04284304927957436,0.01294908896942232
2025-03-31,-0.020494097087623467,-0.04186860047239969,-0.046099402609070306,-0.02137450338477622,-0.0386489371619956
2025-04-30,0.006066900821585085,-0.03534446752587527,-0.03503333423757769,-0.041411368347460356,-0.036721182751537636
2025-05-31,0.013771673493403448,0.04708528422294064,0.045703351288021346,0.033313610729537195,0.043020496028876094
2025-06-30,0.0003245092023517679,0.04377889655198608,0.052866326099212164,0.04345438734963431,0.04778711254764987
2025-07-31,-0.007036109157141995,-0.00413561168072036,0.0020125655884237537,0.002900497476421635,0.00039009537967998995
2025-08-31,0.013515162528865012,0.04662193107045676,0.03535514530830361,0.033106768541591745,0.038173086845271584
2025-09-30,0.02529129821894151,0.024922555321696196,0.04070486632880147,-0.0003687428972453155,0.025701770720158196
2025-10-31,0.030748266857989863,0.01371609475202549,0.038346067884631796,-0.017032172105964374,0.017112515947200858
2025-11-30,0.02851866335947668,0.0336037387158452,0.011201367394902925,0.005085075356368516,0.016393005781552006
2025-12-31,0.020064469574239727,0.020962445886244175,0.01283364774917048,0.000897976312004447,0.012288369331001081
